219,whore
594,old shit
646,ass
649,sex symbol
703,fucking sexy
793,fucking awesome
816,fucking beautiful
817,mega awesome sweet fuckin hyperpowerful riff
859,damn boy
933,pure aural sex
1168,funny scottish bastard
1214,i love this fucking song
1329,fucking awensome
1332,fucking cool
1383,sex pop
1495,sex
1513,shit
1613,bitch
1643,these guys fucking rule
1644,fuck yeah
1648,fuck u bitch
1653,pop bitch
1655,bitch song
1668,its britney bitch
1697,music that has made me shout fuck yes
1700,god damn it on days like this i just have to put bela on loud and shut my eyes until the universe stops
1705,dick fucking dale motherfucker yes
1726,go back to kokomo you fucking beach boy assholes
1773,absofuckinglutely insane
1780,ear sex
1781,fucking hardcore
1823,fuck ben
1825,sex sex sex
1826,sex sex sex sex sex
1827,sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex
1828,sex sex
1829,sex sex sex sex sex sex
1830,sex sex sex sex
1886,fucking amazing
2035,made of fucking win
2039,tr00 metal 666 from hell
2109,the shit
2423,and hell followed with
2473,fucking hot
2518,fuck you
2527,level three bitches
2612,snakes on a motherfucking plane
2673,best motherfucking song ever
2748,kick ass candian rock
2762,kick ass
3004,catchy as hell
3069,bitches
3223,too good for a fucking twilight sequel
3256,suck me fuck me
3322,shitney
3329,fuck you i just want to dance and drink tonight
3331,sexy bitches do it better
3363,shit hot beat
3382,i dont give a fuck
3492,totally bitchen
3535,new york shit
3539,good shit
3637,fuckable
3659,fucking selfdeep
3680,pure sex
3832,sex rock
4009,fucking great
4227,makes me happy as fuck
4240,fuck bush
4244,she kicks ass
4257,girls kick ass
4301,officially shit
4331,fuckin great thrash
4333,fuckin brutal
4335,fuckin metal
4382,fuck
4399,br00talizer shits on phoenix azul
4401,shit in my ass
4402,shitting spam
4438,bitchy
4500,ready set go bitches
4503,hottest bitch
4819,neo bitch in training
4828,pure fucking metal
4916,songs i cry like a bitch to
5005,funny shit
5007,shit glam
5166,sexy as hell
5217,guys i would fuck
5248,fucking fuck
5268,attention seeking whore
5271,glitter bitch
5420,russian shit
5533,fucking epic
5534,fucking great cover
5616,holy shit this music is better than sex i think im going to go murder my dog this is so awesome
5623,fuck me
5730,shitty sludge
5756,so fucking cool song
5821,motherfuckin rabbits ejaculating sunshine
5827,i brush my teeth to this shit
5828,bitches weaves hoes leather jackets
5859,so damn aorable
5885,pop bitches
6010,already the best song of the fucking century
6022,dave gahan is a sex idol
6028,people who are freakier and folkier than motherfucking devendra banhart
6045,girl shit
6053,shemakesmefeellikeshit
6058,sex education
6077,fuckmeinthebackseat
6125,fucking love this
6136,bc13  motherfucker
6274,bitchy lyrics
6438,way too fucking lo- fi
6587,tweak ass shit when you are high
6598,awesome dance shit
6772,fuckin covers
6853,hey song youre so fucking cute
6895,kick ass drummer
6931,i fucking love this vocal
6940,fanfuckingtastic
7018,fucking brilliant
7019,hard as hell
7033,best band in the fucking world
7105,god damn long names
7146,deep ass voice
7201,songs to have sex to
7300,sex for my ears
7325,psyshit
7576,efuckkkkk
7636,hell
7731,fucking perfect
7952,i used to like this ultra shit band
7955,holy fucking shit i came in fucking buckets
7960,holy dick everyone is going to fucking die
8017,gay as hell
8088,fucking lovez it
8160,the fucking best
8208,damn i love this fucking guy
8539,fuck you i am from poland
8549,total fucking win
8660,the fucking greatest band to ever grace this pathetic planet with their holy presence
8671,fucked up
8674,this will make you shit your pants
8690,head fuck
8874,rocks like hell
8881,swings like hell
8942,heyyoufuckingman
8953,listen while crying and feeling like shit
9134,that fucking tank
9172,so fucking good
9177,funny damn shit
9187,fucking adorable
9419,fucking good
9423,i fucking love cassie
9485,whogavethisbitchthisvoice
9498,screamo crunkcore shit
9502,inspirational shit
9503,this shit fucking rawks
9504,real fucking music learn from it i love you mescudi
9509,i love sex fires
9511,makes meh cry my eyes out shit im sad
9513,i fuck to this so its chill
9515,gay shit i love pshyeah
9598,disco fuckin yea
9609,yeah fuckin yeah
9705,best fucking song with organs that makes you want to jizz all over the place then clean it up and say rofl
9716,emofuck
9914,worthless piece of shit
9921,all things annoying in the world put together into one stupid bitch
9953,makes me wanna kick someones ass
10127,guitar hero eat my shit
10213,i fucking love this song
10251,hell fucking yeah
10335,music to make you think about shit punk
10340,better than shitsmack
10489,thick as fuck
10491,freaky as hell on visualizer
10545,fucking hilarious
10559,ohmydamn
10596,levi stubbs is the fucking man
10618,sexy bitch
10810,sexy fucking dance
11024,satanic black metal from hell
11071,sex music
11074,holy fucking shit this shit is fucking awesome
11130,rip out my fucking heart why dont you
11131,fucking mental
11132,fucking annoying background tone
11225,fucking beast
11434,its me bitches
11435,its me bitchs
11478,fix your damn tags
11596,fuck the other tags
11605,funky white bitch
11662,electric fuck
11703,fuck it all and lets dance
11795,its not fucking emo for petes sakes
11796,songs that make me laugh til i shit myself but are still good songs
12018,disco bullshit
12137,shit music is shit
12142,shitting dick nipples
12144,i want her ass
12148,shit only a retard would listen to
12175,dark as fuck
12249,bitchney is back
12257,fuckin perfect
12331,fuckin great solo
12429,cool shit
12536,pretty fucking awesome
